#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.6%	595000	-922.2187945020285	291.2592806575766	1.15e+03	4:08:52
0.6%	600000	-953.0443996777186	295.30249738090544	1.15e+03	4:08:52
0.6%	605000	-918.2010598530871	324.0584933043387	1.15e+03	4:08:51
0.6%	610000	-925.8452886627819	280.7192534453783	1.15e+03	4:08:50
0.6%	615000	-938.200962398007	289.54859994078737	1.15e+03	4:08:50
0.6%	620000	-842.0362112776178	283.2414278698014	1.15e+03	4:08:49
0.6%	625000	-871.0866735076911	272.50779421702623	1.15e+03	4:08:48
0.6%	630000	-875.0901956255194	286.6416595825382	1.15e+03	4:08:47
0.6%	635000	-962.777690397704	304.16180244764877	1.15e+03	4:08:47
0.6%	640000	-893.9376466941575	302.8934901274499	1.15e+03	4:08:46
0.6%	645000	-902.8199311331036	314.5289892046985	1.15e+03	4:08:45
0.7%	650000	-935.1242389230554	325.4438622939897	1.15e+03	4:08:44
0.7%	655000	-861.6265900318471	353.86237788735866	1.15e+03	4:08:44
0.7%	660000	-872.8715740985531	294.4606152328122	1.15e+03	4:08:43
0.7%	665000	-857.359040803924	298.40284577859677	1.15e+03	4:08:42
0.7%	670000	-928.4675362349345	342.18561137409984	1.15e+03	4:08:41
0.7%	675000	-870.7848399115423	291.2506502082187	1.15e+03	4:08:40
0.7%	680000	-933.4103901451128	294.0008206032271	1.15e+03	4:08:39
0.7%	685000	-948.4808533021347	313.11700139614675	1.15e+03	4:08:39
0.7%	690000	-975.5843409290283	310.1403891727745	1.15e+03	4:08:38
0.7%	695000	-921.5667515113354	312.73468240964814	1.15e+03	4:08:37
0.7%	700000	-902.1092548178094	361.44328524289097	1.15e+03	4:08:37
0.7%	705000	-861.6529275378502	316.0078712624881	1.15e+03	4:08:36
0.7%	710000	-946.5758109827111	330.70989134396774	1.15e+03	4:08:35
0.7%	715000	-930.3212748426076	275.7486767517716	1.15e+03	4:08:34
0.7%	720000	-954.7693048627939	303.8008777168382	1.15e+03	4:08:34
0.7%	725000	-887.3219478546717	308.51581454842966	1.15e+03	4:08:33
0.7%	730000	-874.8745098279902	317.494424830818	1.15e+03	4:08:32
0.7%	735000	-816.3658032516366	278.509693075475	1.15e+03	4:08:31
0.7%	740000	-951.0465840921267	288.44740750968754	1.15e+03	4:08:31
0.7%	745000	-942.6538447409597	290.39497918126625	1.15e+03	4:08:30
0.8%	750000	-933.3584326826278	308.669674628362	1.15e+03	4:08:29
0.8%	755000	-888.7203703771216	320.4667383629391	1.15e+03	4:08:28
0.8%	760000	-901.5969545328408	304.4800709345065	1.15e+03	4:08:27
0.8%	765000	-946.2686818157538	272.3987727935281	1.15e+03	4:08:27
0.8%	770000	-936.3304218330278	350.7955592814256	1.15e+03	4:08:26
0.8%	775000	-970.0927119299255	323.49827463375766	1.15e+03	4:08:25
0.8%	780000	-938.8078040024124	292.89271719926984	1.15e+03	4:08:25
0.8%	785000	-923.7906445467511	307.36822931867414	1.15e+03	4:08:24
0.8%	790000	-930.3602619675187	306.4388522701938	1.15e+03	4:08:23
0.8%	795000	-907.1747377886259	298.3537745646231	1.15e+03	4:08:22
0.8%	800000	-978.4884643896793	272.72489465863293	1.15e+03	4:08:22
0.8%	805000	-900.0350156997038	294.34428603418723	1.15e+03	4:08:21
0.8%	810000	-891.3497458840802	294.86968530563473	1.15e+03	4:08:20
0.8%	815000	-914.2147675584094	286.23070469893634	1.15e+03	4:08:19
0.8%	820000	-909.7006693075157	301.5372530377388	1.15e+03	4:08:19
0.8%	825000	-931.789654224925	299.1576298285722	1.15e+03	4:08:18
0.8%	830000	-925.8218812970786	293.37324474742735	1.15e+03	4:08:17
0.8%	835000	-903.764960048509	297.16412829431863	1.15e+03	4:08:17
0.8%	840000	-944.1721453742045	270.07681818083734	1.15e+03	4:08:16
0.8%	845000	-956.7415535020074	284.87155772591683	1.15e+03	4:08:15
0.8%	850000	-983.5858458204407	290.58471679971717	1.15e+03	4:08:14
0.9%	855000	-797.3873830961979	329.5479550988047	1.15e+03	4:08:14
0.9%	860000	-892.476555353057	259.7310256794756	1.15e+03	4:08:13
0.9%	865000	-853.2647145357515	275.5936923987428	1.15e+03	4:08:12
0.9%	870000	-894.3519702980478	292.6506347481233	1.15e+03	4:08:11
0.9%	875000	-914.4130564164813	274.5610971599533	1.15e+03	4:08:11
0.9%	880000	-810.3928144989673	304.3248551134873	1.15e+03	4:08:10
0.9%	885000	-861.8255330395974	254.58334290632502	1.15e+03	4:08:09
0.9%	890000	-956.0185468701981	276.9139031490844	1.15e+03	4:08:08
0.9%	895000	-864.4811746103278	285.2958054855412	1.15e+03	4:08:08
0.9%	900000	-984.7094853149486	302.7002804891424	1.15e+03	4:08:07
0.9%	905000	-919.6542379833745	291.15379738764665	1.15e+03	4:08:06
0.9%	910000	-879.3664644113051	266.94350212793586	1.15e+03	4:08:05
0.9%	915000	-898.8010697398338	318.77315321058677	1.15e+03	4:08:05
0.9%	920000	-890.7489183363018	289.08315087886433	1.15e+03	4:08:04
0.9%	925000	-902.190239139391	288.04197479100054	1.15e+03	4:08:03
0.9%	930000	-879.7902283494776	286.28668688576755	1.15e+03	4:08:02
0.9%	935000	-828.3573947836826	291.06617021983647	1.15e+03	4:08:02
0.9%	940000	-931.1582138092302	254.33259693896483	1.15e+03	4:08:01
0.9%	945000	-819.8282341175391	322.6840363770943	1.15e+03	4:08:00
0.9%	950000	-847.2875837131824	289.2280167740252	1.15e+03	4:07:59
1.0%	955000	-971.411518273696	297.4735679306838	1.15e+03	4:07:59
1.0%	960000	-946.7424181999351	304.32875700246905	1.15e+03	4:07:58
1.0%	965000	-901.4010851288537	249.71557106733036	1.15e+03	4:07:57
1.0%	970000	-898.0779374821575	252.6061598653976	1.15e+03	4:07:56
1.0%	975000	-943.7175829486621	289.9013571582209	1.15e+03	4:07:56
1.0%	980000	-876.8471479531294	265.675933811992	1.15e+03	4:07:55
1.0%	985000	-931.7448503249161	313.0889607024475	1.15e+03	4:07:54
1.0%	990000	-881.1805733649376	298.4036393831354	1.15e+03	4:07:53
1.0%	995000	-945.1693794247296	285.40459544104897	1.15e+03	4:07:53
1.0%	1000000	-950.830519306932	325.8736322185289	1.15e+03	4:07:52
1.0%	1005000	-887.6661580941729	280.8309202173387	1.15e+03	4:07:51
1.0%	1010000	-825.9447633175263	279.8927804520774	1.15e+03	4:07:50
1.0%	1015000	-929.8267163518818	314.2337352494619	1.15e+03	4:07:50
1.0%	1020000	-896.2264718275411	309.36169778607194	1.15e+03	4:07:49
1.0%	1025000	-924.4726982775874	309.23925121912816	1.15e+03	4:07:48
1.0%	1030000	-922.8643168796591	311.5178551838947	1.15e+03	4:07:47
1.0%	1035000	-831.2741478223625	335.8222256482922	1.15e+03	4:07:47
1.0%	1040000	-891.8401930034906	320.1669211816052	1.15e+03	4:07:46
1.0%	1045000	-890.4385241548832	283.3597080129172	1.15e+03	4:07:45
1.1%	1050000	-897.2013210190951	316.7709220264079	1.15e+03	4:07:44
1.1%	1055000	-929.0281695517115	306.71009968813604	1.15e+03	4:07:44
1.1%	1060000	-919.4298495439868	336.70173787826013	1.15e+03	4:07:43
1.1%	1065000	-928.9995015697674	334.5823177572061	1.15e+03	4:07:42
1.1%	1070000	-896.9955532591459	289.83667838832025	1.15e+03	4:07:42
1.1%	1075000	-965.0076731856423	283.51502303450377	1.15e+03	4:07:41
1.1%	1080000	-963.6850657780321	275.4562996129876	1.15e+03	4:07:40
1.1%	1085000	-897.3659688119147	298.78648743932644	1.15e+03	4:07:39
1.1%	1090000	-891.9455878361391	361.8316885308526	1.15e+03	4:07:39
